name_song,lyric,label
Nắng Có Còn Xuân & Xuân Đẹp Làm Sao & Anh Cho Em Mùa Xuân,mùa xuân ta mùa xuân hát kia trời đồi núi xanh ngời tiếng đàn cầm buồn lã lơi tiếng tỉ tơi lung linh giọt sương trắng vời vợi yêu yêu chiều gió rơi yêu tiếng đàn yêu bao giọt sương vương lá bao nụ hoa ngát xinh môi cười xuân chờ đông tình ta chờ chẳng bao đêm đàn chim trắng xuân nắng vương môi đẹp sao gió xuân mơn man cành đào đẹp sao bướm hoa trao tình xuân đem vui duyên lứa ta đậm đà bôn gợi lữ trời xuân pháo nổ vang rền đì đùng mừng xuân mứt dưa mai vàng bánh chưng khắp quê hương nắm môi nở nụ cười chúc thịnh vượng phát tài đất mẹ gầy cỏ lúa đồng ta xanh mấy mùa đê diều căng gió thoảng câu hò đôi lứa xóm vang chuông chùa trăng soi liếp dừa sông mấy nhánh cát trắng bờ quê xưa mùa xuân nụ hoa vàng nở chiều đông nhung đường lao xao lá chân mòn hè phố mắt buồn vin mùa xuân mùa xuân tất lộc non trẩy lá thơ thương cõi đời bầy chim lùa vạt nắng khói chiều vơi hỡi nàng đỏ đôi má xuân mơ tình quân sao thẹn thùng nụ cười thơ mừng xuân ngóng chờ bè nâng ly uống cạn mừng xuân đẹp sao dáng xuân in đẹp sao lá hoa mướt thắm tươi xuân tô màu rạng ngời tranh xinh đẹp tuyệt vời khắp mãi mãi chờ xuân,vui
Hoa Cỏ Mùa Xuân & Khá Khen,cỏ non rất mềm mùa xuân rất hiền hoa rất thơm giọt sương trĩu hạt ngọc lá cỏ tầm xuân hiên chiều nằm mơ hiền khô thương đẹp trai hoa cỏ mùa xuân mùa xuân tình u u cỏ hoa thương mùa xuân tình u u cỏ hoa thương hoang dại đôi mươi dõi khen khen cố gắng kiềm chế khả năng nụ hôn khó dứt lắm khen khen khen what gonna what gonna about it eh what gonna what gonna what gonna about it come on what gonna what gonna what gonna about it what gonna what gonna what gonna about it hey hoang dại đôi mươi đôi mươi dõi khen khen cố gắng kiềm chế khả năng nụ hôn khó dứt lắm khen khen khen cố gắng kiềm chế khả năng nụ hôn khó dứt lắm khen khen khen,vui
Đón Xuân & 60 Năm Cuộc Đời,xuân gieo rắc ngàn hồn hoa đời vui bình minh muôn loài chim hót vang đẹp tiếng cười kiếp tình thương đắm đuối ánh xuân đem vui đời kìa trông vạt nắng mạch xuân tràn dâng khóm hoa nhẹ rung môi cười thẹn thùng bao sống bướm say duyên lành bướm say duyên lành thắm tô trời xanh thắm tô trời xanh đàn chim tung cánh hót vui đón mừng mùa nắng tươi lan ta gió thiết tha muôn tiếng đàn xuân đem niềm vui xanh hoen than sầu thương xóa mờ tình yêu đời chan chứa khát khao xuân tươi thái hòa đón chúa xuân giáng trần gian lắng tình xuân nồng kiếp hoa phai đời hương phấn hững hờ xuân ngóng chờ nắm ca múa hát đón xuân thơ bao nhiêu đời đầu sung sướng bao sầu vương vời vợi bao hỡi đời sống bao hỡi bao đời hỡi bao sống yêu bao nhiêu đời yêu thương yêu yêu trọn đời ta sống bao hỡi đời sống bao hỡi bao đời hỡi bao sống yêu bao nhiêu đời yêu thương yêu yêu trọn đời ta sống bao yêu yêu trọn đời ta sống bao yêu yêu trọn đời ta sống bao phu tướng bảo kiếm sắc phong đàng luống trông chàng canh mơ màng luống trông chàng ôi gan vàng quặn đau í a đường ong bướm đừng phụ nghĩa tào khang ðêm luống trông mỏi mòn đá vọng phu vọng phu vọng luống chàng sao nỡ phũ phàng chàng hỡi chàng hay đêm thiếp nằm luống sầu tây bao thuở sum vầy duyên sắc cầm đừng lạt phai nguyện chàng nguyện chàng đặng chữ an mau trở gia đàng én nhạn hiệp đôi í a,vui
Gái Xuân & Tình Yêu Màu Nắng,gái xuân trắng thân lấm bụi trần xuân hoa mơ hoa mận nở gái xuân giũ lụa sông vân xuân đi xuân xuân gái trông xuân bao xuân hoa mơ hoa mận nở gái xuân giũ lụa sông vân xuân lơ đãng má xuân hồng gái xuân mơ vợ chồng đôi tám xuân đi mái tóc đêm xuân ngủ buồn gái xuân trắng thân lấm bụi trần xuân hoa mơ hoa mận nở gái xuân giũ lụa sông vân trái tim thương âm thầm bao ước mơ hạnh phúc hay nỗi xót hay tình yêu bao la mong tình ta đóa hoa đợi nắng mai đôi môi rạng rỡ tình ta chẳng phai nhòa bao nhiêu đêm đêm trôi hoài bao nhiêu mùa trăng bóng dáng cạnh đêm lạnh vòng ấm mưa rơi ngấm khứ thời nhắc mong đêm đông lạnh chiều giấc ngủ an lành bình minh ánh nắng ấm dịu dàng khẽ yeah bầu trời xanh đặc biệt nắng mây nhiên ghép xóa tan rào cản đau mau quên đi vết đen tình yêu nắng mãi mây trắng lỡ gió quấn bay đi thể cất dang đôi yêu thương bao đánh bơ vơ lạc giấc mơ vơi đất trời xôi màn đêm tối lối mãi trái tim thương âm thầm bao ước mơ hạnh phúc hay nỗi xót hay tình yêu bao la mong tình ta đóa hoa đợi nắng mai đôi môi rạng rỡ tình ta chẳng phai nhòa,vui
Cầu Vừa Đủ Xài,cầu sức khỏe vươn sống vui vẻ lạc quan cầu bố mẹ bình an cầu may đắt cầu hành thơ cầu đôi lửa đi xe mắt đôi vợ chồng cầu phiền bi tiên giỏi nhẹ xinh gái ngủ đối thủ yeah vui phim ghi tiên mỏi giỏi trái xinh gái ngủ đối thủ yeah cá táo chép nhá chợ đem thông báo yeah thành công hay may mắn tí đi sao cơm mẹ rượt vô pháo yeah chợ tình đào quất chuối đôi gà khoanh giò chả mấy hoa hạ đi thu tời đông mắt xuân tết xả hơi cầu sức khỏe sống vui vẻ lạc quan cầu bố mẹ vui bình an cầu may đắt cầu hay cầu đôi lửa đi mắt đôi vợ chổ cầu vội phiền ghi tiền mỏi giỏi giỏi trái xinh gái ngủ đối thủ vội phiền ghi tiền mỏi giỏi trái vị sinh gái ngủ đối thủ yeah pháo nổ xong mẹ thắp hương lễ mọng lòn thành dâng vị thánh thần phương cổ châu trôi đi nạn tỏ tường đôi chân đường đường đi hướng cầu đội côn hương lý sĩ lý sĩ mẹ lý sĩ lý sĩ đẹp dòng xịt hoa đi sông mạng xăng chùa hải cành lọc may giấc mộng ấp ủ chân thương đắm êm đừng vững đời xoay cầu yêu sức khỏe sống vui vẻ lạc quan cầu bố mẹ bình an cầu buôn may đắt cầu hành thơ cầu đôi lửa đi mắt đôi vận trở cầu buồn phim đi tiền nịnh mỏi giỏi giỏi trái tim xinh gái ngủ đối thủ buồn phim đi tiền nịnh mỏi giỏi ah trái vị xinh gái ngủ đối thủ,vui
Đi Chùa Cầu Duyên,bao ta giật linh đình ta tình chùa cầu tình duyên mùa quyết đùa thương vui đón giao thừa nhỡ cổng chùa thương í a nhỡ đầu bạc long í a xuân chùa cầu duyên mỏi mong lưu luyến hay nhiên chữ phận chữ duyên đức phúc bao nhiêu fore alone môi xinh hôn hôm chùa dâng hương mong may kính tơ lạy nguyệt ban phước yêu truyền thuyết mãi cau trầu hạnh phúc trăm bạc đầu xuân trôi đi mây trời mong ta xây đắp đời nhỡ cổng chùa thương í a nhỡ đầu bạc long í a xuân chùa cầu duyên mỏi mong lưu luyến hay nhiên chữ phận chữ duyên ìiii í a tương tư tương tư chín đợi mười chờ cầu trời se duyên đời bơ vơ tương tư tương tư chín đợi mười chờ cầu trời se duyên đời bơ vơ xuân chùa cầu duyên mỏi mong lưu luyến hay nhiên chữ phận chữ duyên ìiii í a,vui
Nôn Cưới,đàn chim hòa ca nắng mâу trắng trôi mênh mông chiều buông nhẹ cánh đồng tiếng hát vang nhẹ nhàng lả lơi sông ngàу vui taу hoà khoan xuồng ghe xuôi mái sóng trôi lênh đênh phù sa đẹp câу lúa taу chân khoan thai hò rảo khua mái chèo trăng vui mừng vui soi dòng sông hiền hòa ngàу cưới lứa đôi trao tình hò ới hò cánh đồng thơm chín nhánh sông cửu long tim thích ѕao chàng nhích lặng thinh hò ới hò mùa gặt câу lúa trĩu lưu luуến thương tiếng mai má trầu cau trai cưới gái ngoan xinh tươi đừng nuốt bé cưng ta ha nôn đi trời quen thiệt cưới xâу tương lai ngàу mai ngàу vun đắp lo ta tràn ngập tiếng cười bón phân vườn hoa ta hoà nhịp điệu dân ca hạnh phúc hò rạng ngời đôi ta hạnh phúc lắm hôm naу dâu phơi phới sánh rạng rỡ tươi cười đôi nghĩa vợ chồng hứa cưới thề nguуện trọn đời sửa túi nâng khăn quen mấу chục mùa trăng vậу mấу bật đèn xanh ngập ngừng ấp a ấp úng lúng túng thấу thương mãi vấn vương ấу hò ới hò cánh đồng thơm chín nhánh sông cửu long tim thích ѕao chàng nhích lặng thinh hò ới hò mùa gặt câу lúa trĩu lưu luуến thương tiếng mai má trầu cau trai cưới gái ngoan xinh tươi đừng nuốt bé cưng ta ha nôn đi trời quen thiệt cưới xâу tương lai ngàу mai ngàу vun đắp lo ta tràn ngập tiếng cười bón phân vườn hoa ta hoà nhịp điệu dân ca hạnh phúc hò rạng ngời đôi ta bón phân vườn hoa ta hoà nhịp điệu dân ca cưới hò rạng ngời đôi ta,vui
Về Bản Ăn Tết,quê tết xuân gieo lộc biếc hiên ta vui múa hát ca ngân vang tiếng sáo chan hoà nguyên đẹp lắm giây lát gạt tâm tư thoả khao khát ta lướt đèo đôi mắt thêu giấc mơ ta mơ ước lắng lo xô bồ ta đắm say muôn trùng mông lung tết tết tết tết tết bao ta thăm thăm mẹ xuân xuân ta não nề ta ta đi ta thèm trở tết chân đi đường ngắm hoa ngắm phố phường bồi hồi thương mong cố hương ngoái bố cắm hoa đào bày mâm ngũ mẹ gói bánh chưng mấy đứa xếp lạt chuẩn mặt trời ngang lưng đồi po me bé lưng vây quanh nồi bánh chưng than hồng đón tết quây quần hoa đào hoa quất hoa mai cu cháu rộn ràng tai xuân tết bao gánh vai bao trải bé bố chở ta tết chở hoa ta chăm đời mong khoản già chạy đi chỉnh chu xuề xoà gian khó nề hà đi tết tết đồng bào ta phương bôn tư ta dựng xây quê hương ta gieo hoan ca gieo hào sắc hey hey hey tết hey hey hey tết hey hey hey tết tết tết tết xuân gieo lộc biếc hiên ta vui múa hát ca ngân vang tiếng sáo chan hoà nguyên đẹp lắm,vui
Về Nhà Ăn Tết 2,bố mẹ ah đi hơi đêm tết bảo chất uhm chất sao khất tết gấp đừng vấp mặt sấp tết double double double double lâm nguy tayho tayho tayho iu bích đét đi tết khoan chủ nợ ngoan ngang thái độ uhm thân nợ cớ lạ quên black list thích loa quyết tâm phất chủ nợ ta nợ hoa nợ chất cổ lấp lánh cartier biến bò chuồng thành lamborghini ví up tiền quê ngọc ngà ruby ta đứng vô lo cam go chân đi đất đội trời hiên ngang chấp bao dân dollar sấp tăm hơi thua cắc trao kịp thời aight tết cắc cắc lắc ấm thân tết cắc cắc lắc up mâm tết cắc cắc lắc đào quất sân tết cắc cắc lắc bật nhạc lắc xuân hạ thu đông chẳng gọi né xuân giỏi gọi bảo mãi tết tết xưa khu viettel money tài khoản hơi thừa tết út chăn thằng căng đét trêu trán nhăn phết gia đình quây quần khăng khít rời thời covid quân đứa lít nhít lì xì cười tít mít tết cắc cắc lắc ấm thân tết cắc cắc lắc up mâm tết cắc cắc lắc đào quất sân tết cắc cắc lắc bật nhạc lắc xuân châm ngôn đừng vẽ chốn vời mâm son tết bễ đời tiền giấy ta dư chẳng chiều ta mấy ngọc ngà ruby ta đứng vô lo cam go chân đi đất đội trời hiên ngang chấp bao dân dollar sấp tăm hơi thua cắc trao kịp thời aight tết cắc cắc lắc ấm thân tết cắc cắc lắc up mâm tết cắc cắc lắc đào quất sân tết cắc cắc lắc bật nhạc lắc xuân,vui
Mơ Là Phải Mở,đi bói đầu hữu duyên thầy gieo quẻ mong vibing ya ui hơi xui thui vui nha mong sao new year new me on da mic thầy nà bế tắc hay nở hoa mua xe hơi đậu xinh true love sao ảnh lễ tết xong thành đôi thành hôn mơ đôi mắt nắm bắt hội bất đêm giấc mơ chí thức tỉnh mơ ta app yêu đi match mấy ghệ kiwi kiwi kewtie mơ ta phone plan rót ví new year new life eything makes new me xe tơ duyên cửa trái tim mơ bát đầu siêng chúc ví tiền mơ may tết đong ước mơ thành mơ mơ mớ mơ vốn muôn màu may mong cầu mơ đầu mơ mơ nà yuno mơ mơ mơ mơ mơ mơ mơ mơ mơ mập mờ mơ mơ mơ mơ mơ mơ mơ mơ mơ mơ mơ mơ mơ mơ mơ đi thở mơ mơ mơ lương duyên gỡ mơ mơ mơ start up thành công sắm phone mơ xây bố to mơ mơ ta chúc may mắn mùa xuân bao nhiêu ước mơ thành tỉnh táo thành công mơ mơ mơ,vui
