name_song,lyric,label
Tay Trắng Tay Đen,trắng đen chè đậu đen nấu đường ngào đường nấu me nhào bột nấu bánh chè đậu xanh nấu đường chè đậu đỏ nấu đường trắng đen trắng đen chè đậu đen nấu đường ngào đường nấu me nhào bột nấu bánh chè đậu xanh nấu đường chè đậu đỏ nấu đường trắng đen mau đi đánh tù tì phiên kỳ búa búa đập kéo mau đi đánh tù tì phiên kỳ kéo kéo cắt bao,vui
đất nước trọn niềm vui,ta đi muôn ánh sao vàng rừng cờ tung bay rộn ràng mê say chân dồn sài gòn vững bao vui giải phóng ta vang tiếng hồ dậy non sông dạo rực sao hôm vui hội toàn dân thành đồng sắt son vang khải hoàn ôi hạnh phúc vô biên hát đi yêu thương hội toàn thắng náo nức đất ta bay say ngắm sông núi hiên ngang ta reo vang hát ca muôn đời việt nam tổ quốc hùng ôi quê hương bao giặc phá điêu tàn ngoan cường toàn thắng đẹp đời rực ánh mắt lấp lánh ta ôm hôn tấc đất quê hương ta ca vang chân chiến sĩ giải phóng kiên cường đêm hoa đăng môi cười bó hoa đời tươi thắm tuyệt vời đẹp niềm mãi mãi tổ quốc muôn đời trọn vẹn non sông thống rạng rỡ việt nam,vui
ngày đầu tiên,kiếm cổ tích đời may mắn cầm đi đường bao chàng hoàng tử đắm say giản đơn hình hài quỳ gối nàng công chúa đẹp đêm cười chẳng lo lắng che chở quãng đường đầu tiên sống suốt đời cầm mãi rời tim nhịp ta đôi mong chẳng xôi ta bạc đầu mai sao ta lo âu chàng hoàng tử đắm say giản đơn hình hài quỳ gối nàng công chúa đẹp đêm cười chẳng lo lắng che chở quãng đường đầu tiên sống suốt đời cầm mãi rời tim nhịp ta đôi hôm tuyệt vời đời đầu tiên ta sống giới đầu tiên sống suốt đời cầm mãi rời tim nhịp ta đôi,vui
Đố em bắt được anh,đôi mươi ngọc ngà mươi già đi lơ tình yêu đôi mắt ngây thơ thưa nụ cười duyên làn tóc mượt hát âm núi rừng nàng hoa tình tình khúc hát hát gửi mây trời bao la bao la núi núi đồi yêu yêu say đắm đắm say yêu đầu rung động ới tình cờ bảy duyên ới vốn thích hoa rừng lưu luyến dừng chân ah ah ah ah ah ah đôi nhắn gởi ới sao thương chiếm trái tim bao ngây dại bắt đi chần chờ chi hở đố bắt tình đẹp tranh nà bắt đi chần chờ chi đố bắt chắn mai tình đẹp tranh nà tình tình khúc hát hát gửi mây trời bao la bao la núi núi đồi yêu yêu say đắm đắm say yêu đầu rung động ới tình cờ bảy duyên ới vốn thích hoa rừng lưu luyến dừng chân ah ah ah ah ah ah,vui
Con Còng Con Cua,còng cẳng co co cua cong cong cua cắn câu cá cua cong cẳng còng co co co co co co cẳng co co cẳng cẳng còng cẳng co co cong còng cẳng co co cua cẳng còng cẳng co,vui
Gác lại âu lo,đi lạc sóng gió đời mai liệu bình yên âu lo chạy ánh sao đêm trôi chớp mắt thành phố đèn ta lặng lẽ chạy mau yêu thương chẳng kịp thành câu liệu mai thức giấc ánh mắt nhẹ đôi rời tạm gác âu lo đường ta đầu tiếc nuối cũ trái tim yên bình quên ưu phiền vấn vương đời bao yêu đi chỗ trú chân dọc đường mưa hạ chiều ta trao ân vui buồn thời gian ta trưởng thành nhảy đôi chân rã rời hát câu ca xưa cũ thầm khẽ bao niềm mơ ôm mưa đầu mùa ghé giây đời đơn trời mù mây nhiên ngát xanh khẽ cười nguyên yên vui đời duyên kiếp kia ta tạm gác âu lo đường ta đầu tiếc nuối cũ trái tim yên bình quên ưu phiền vấn vương đời bao yêu đi chỗ trú chân dọc đường mưa hạ chiều ta trao ân vui buồn thời gian ta trưởng thành bờ vai rộng che chở was a boy now a man đi lạc giới điên rồ kia tình yêu trao yêu a fat kid loves cake nhắm mắt cảm tình yêu tan dịu môi hôn môi happy ending bình minh ta trang nối câu mơ kia xanh biếc xanh biếc thiên đàng bóng đêm yên bình ta đàn câu ca đời chẳng hề hối tiếc ta đi tạm gác âu lo đường ta đầu tiếc nuối cũ trái tim yên bình quên ưu phiền vấn vương đời bao yêu đi chỗ trú chân dọc đường mưa hạ chiều ta trao ân vui buồn thời gian ta trưởng thành,vui
và con tim đã vui trở lại,đường lối đi đời vấn nghi lạc loài niềm sống mai sống quên vui trọn đêm vui tàn đi ướt mi tình yêu ánh nắng mai xóa tan màn đêm u tối biến đổi tâm hồn thành tim vui trở tình yêu mai tình yêu chiếu ánh đời hy vọng ơn cứu rỗi tim vui trở niềm dâng tâm hồn nguyện yêu mãi bây buồn lỗi lầm tha tình yêu ánh nắng mai xóa tan màn đêm u tối biến đổi tâm hồn thành tim vui trở tình yêu mai tình yêu chiếu ánh đời hy vọng ơn cứu rỗi tim vui trở niềm dâng tâm hồn nguyện yêu mãi đi vực sâu u tối sợ hãi mãi tim vui trở tình yêu mai tình yêu chiếu ánh đời hy vọng ơn cứu rỗi tim vui trở niềm dâng tâm hồn nguyện yêu mãi tim vui trở tình yêu mai tình yêu chiếu ánh đời hy vọng ơn cứu rỗi tim vui trở niềm dâng tâm hồn nguyện yêu mãi,vui
Về Quê Thôi,quê đợi đong yêu thương niềm vui khắp muôn lạc chốn buồn đau mua quà mua bánh bao gánh lo toan ta dẹp đi câu chào đoán vui tưng bừng táo mua trông mong nâng ly đi tình say đường tết chúc bình an đào mai nở tươi khắp đêm đón lộc xuân ban khắp kìa hiên gió nhẹ niềm yêu bao la ngào ngạt hương bay đàn chim én lượn quanh khung trời vui xuân ngát xanh bao mưu sinh tết gia đình mẹ duyên phận trời hmmm cầm nhánh mai chân đi đường mặt buồn chẳng nụ cười môi chạy gia đình ta ấm êm quê đợi tui gia đình no ấm an vui bày mâm cơm tết no nê ta tết quê,vui
Good girl,gái rất ngoan yêu yêu lãng mạn yeah đi đêm đi yeah quanh giới ngoan hoài đời đừng nụ cười don t let me go oh no oh no ngoan xinh yêu chắn tuyệt tác bao cos baby i wanna tell you that you re loosing your mind tuyệt vời định nghĩa sai cos baby i m a good girl baby baby i m a good girl you said it said it i m a good girl if i d what you want what you say yeah baby baby i m a good girl baby baby i m a good girl i ll say it say it i m a good girl thẳm sâu trái tim i wanna be bad for you ngoan thuyền khơi lả lướt hề buông lơi ngắm chối bao nhiêu gọi mời ghé giây vội say mơ đơ lắm dây i ve been feeling this feeling this thích dối đừng chối gi say no to baby i m a good girl baby baby i m a good girl you said it said it i m a good girl if i d what you want what you say yeah baby baby i m a good girl baby baby i m a good girl i ll say it say it i m a good girl thẳm sâu trái tim i wanna be bad for you đêm chút mặt trời ta mười lăm phút gọi think it was the kinda love that you don t wanna ever forget lẽ chẳng diễn nét ngại ngùng chẳng hứa hẹn mai đậm sâu khoan ta tình rời đi ghi sâu tâm trí baby i m a good girl baby baby i m a good girl you said it said it i m a good girl if i d what you want what you say yeah baby baby i m a good girl baby baby i m a good girl i ll say it say it i m a good girl thẳm sâu trái tim i wanna be bad for you rất ngoan rất ngoan rất ngoan rất ngoan rất ngoan rất ngoan rất ngoan rất ngoan rất ngoan rất ngoan rất ngoan rất ngoan yeah yeah i just wanna take my time yeah yeah yeah yeah taking my time,vui
Bên trên tầng lầu,đừng khóc bóng tối mắt bắt đi đừng lo đừng tương lai tắt sâu màu mắt chút tiếc nuối phút hề sai thể mãi trái tim đau tương lai chẳng thương bao niềm đau mong tim dừng nỗi phai nhốt đài đài đau bất tận sao khóc buồn tình yêu lốc thoáng phút chốc lướt mau sao khóc buồn rượu kề môi nốc thoáng phút chốc vơi u sầu sao khóc sao khóc buông bàn chấm tất buồn bao đời khóc quên thiên đường chờ tương lai chẳng thương bao niềm đau mong tim dừng nỗi phai nhốt đài đài đau bất tận sao khóc buồn tình yêu lốc thoáng phút chốc lướt mau sao khóc buồn rượu kề môi nốc thoáng phút chốc vơi u sầu sao khóc sao khóc,vui
