name_song,lyric,label
Nắng Có Còn Xuân & Xuân Đẹp Làm Sao & Anh Cho Em Mùa Xuân,"Mùa xuân ơi, ta nghe mùa xuân hát bên kia trời
Đồi núi xanh ngời
Đâu đây tiếng đàn cầm buồn lã lơi
Đâu đây tiếng lòng tôi nghe tỉ tơi
Và em tôi lung linh giọt sương trắng trong vời vợi
Em biết yêu rồi
Em yêu những chiều ngồi nghe gió rơi
Em yêu tiếng đàn tôi, yêu thế thôi
Như bao giọt sương còn vương mình trên lá
Như bao nụ hoa ngát xinh môi em cười
Như xuân chờ đông tình ta còn xa quá
Nên anh chờ em chẳng biết đến bao giờ
Đêm nay từng đàn chim trắng về
Xa em biết ngày xuân nắng có còn vương trên môi em
Đẹp làm sao gió xuân mơn man cành đào
Đẹp làm sao bướm hoa trao tình với nhau
Xuân đến đem vui về mọi nhà
Duyên lứa tôi ta thật đậm đà
Bước bôn ba gợi lòng lữ khách xa nhà
Ngoài trời xuân pháo nổ vang rền đì đùng
Mình mừng xuân mứt dưa mai vàng bánh chưng
Trên khắp quê hương mình người người
Tay nắm tay môi nở nụ cười
Chúc sang năm thịnh vượng và phát tài hơn
Đất mẹ gầy cỏ lúa, đồng ta xanh mấy mùa
Ngoài đê diều căng gió, thoảng câu hò đôi lứa
Trong xóm vang chuông chùa, trăng sáng soi liếp dừa
Con sông dài mấy nhánh, cát trắng bờ quê xưa
Anh cho em mùa xuân, nụ hoa vàng mới nở
Chiều đông nào nhung nhớ
Đường lao xao lá đầy, chân bước mòn hè phố
Mắt buồn vin ngọn cây
Anh cho em mùa xuân, mùa xuân này tất cả
Lộc non vừa trẩy lá
 thơ thương cõi đời, bầy chim lùa vạt nắng
Trong khói chiều chơi vơi
Hỡi những nàng đỏ đôi má ngày xuân
Mơ tình quân đến sao em thẹn thùng
Từng nụ cười ngày thơ mừng xuân từ lâu ngóng chờ
Bạn bè cùng nâng ly uống cạn mừng xuân mới sang
Đẹp làm sao dáng xuân in trong lòng người
Đẹp làm sao lá hoa mướt mà thắm tươi
Xuân đến đây tô màu rạng ngời
Như bức tranh xinh đẹp tuyệt vời
Khắp xa gần người người mãi mãi chờ xuân",vui 
Hoa Cỏ Mùa Xuân & Khá Khen,"Này là cỏ non rất mềm
Này là mùa xuân rất hiền
Này là hoa rất thơm
Này là giọt sương trĩu nặng
Hạt ngọc trên lá cỏ
Trên bông tầm xuân trước hiên nhà
Vì em đã biết anh chiều qua
Người em vẫn thấy khi nằm mơ
Người vừa hiền khô vừa dễ thương
Lại vừa đẹp trai nhất vùng
Đến theo cùng hoa cỏ của mùa xuân
Và mùa xuân biết em
Biết em đã mang một mối tình
U ơ u ơ biết em! Biết em
Thế nên cỏ hoa thật là dễ thương
Và mùa xuân biết em
Biết em đã mang một mối tình
U ơ u ơ biết em! Biết em
Thế nên cỏ hoa thật là dễ thương
Mình bên nhau, mình hoang dại
Tuổi đôi mươi như quay lại
Mọi người dõi nhìn theo quả thật là khá khen, khá khen
Dù em đã cố gắng để kiềm chế em trong khả năng
Mà nụ hôn khó dứt ra lắm quả thật là khá khen, khá khen
Khá khen
What cha' gonna do
What cha' gonna do about it? eh
What cha' gonna do, what cha' gonna do
What cha' gonna do about it? come on
What cha' gonna do, what cha' gonna do
What cha' gonna do about it?
What cha' gonna do, what cha' gonna do
What cha' gonna do about it? hey
Mình bên nhau, mình hoang dại mình bên nhau
Tuổi đôi mươi như quay lại tuổi đôi mươi
Mọi người dõi nhìn theo quả thật là khá khen, khá khen
Dù em đã cố gắng để kiềm chế em trong khả năng
Mà nụ hôn khó dứt ra lắm quả thật là khá khen, khá khen
Khá khen
Dù em đã cố gắng để kiềm chế em trong khả năng
Mà nụ hôn khó dứt ra lắm quả thật là khá khen, khá khen
Khá khen",vui
Đón Xuân & 60 Năm Cuộc Đời,"Xuân đã đến rồi, gieo rắc ngàn hồn hoa xuống đời
Vui trong bình minh, muôn loài chim hót vang mọi nơi
Đẹp trong tiếng cười, cho kiếp người tình thương đắm đuối
Ánh xuân đem vui với đời
Kìa trông vạt nắng
Mạch xuân tràn dâng
Khóm hoa nhẹ rung
Môi cười thẹn thùng cùng bao nguồn sống
Bướm say duyên lành
Bướm say duyên lành
Thắm tô trời xanh
Thắm tô trời xanh
Đàn chim tung cánh hót vui đón mừng mùa nắng tươi lan
Ta nghe gió về đang thiết tha như muôn tiếng đàn
Xuân đem niềm vui cho ngày xanh không hoen  than
Sầu thương xóa mờ, tình yêu đời càng thêm chan chứa
Khát khao xuân tươi thái hòa
Cùng đón Chúa xuân đang giáng xuống trần
Thế gian lắng nghe tình xuân nồng
Kiếp hoa hết phai đời hương phấn
Nào ai hững hờ, xuân vẫn ngóng chờ
Tới đây nắm tay cùng ca múa
Hát lên, đón xuân của tuổi thơ
Anh ơi có bao nhiêu 60 năm cuộc đời
20 năm đầu
Sung sướng không bao lâu 20 năm sau
Sầu vương cao vời vợi 20 năm cuối là bao
Hỡi là thế
Đời sống không là bao
Hỡi là bao
Đời không lâu là thế
Hỡi được bao năm
Hãy sống mà yêu nhau!
Anh ơi có bao nhiêu 60 năm cuộc đời
Khi xa anh rồi em biết yêu thương ai
Nên khi yêu nhau thì yêu cho trọn đời
Anh ơi ta sống là bao!
Hỡi là thế
Đời sống không là bao
Hỡi là bao
Đời không lâu là thế
Hỡi được bao năm
Hãy sống mà yêu nhau!
Anh ơi có bao nhiêu 60 năm cuộc đời
Khi xa anh rồi em biết yêu thương ai
Nên khi yêu nhau thì yêu cho trọn đời
Anh ơi ta sống là bao!
Nên khi yêu nhau thì yêu cho trọn đời
Anh ơi ta sống là bao!
Nên khi yêu nhau thì yêu cho trọn đời
Anh ơi ta sống là bao!
Từ là từ phu tướng
Bảo kiếm sắc phong lên đàng
Vào ra luống trông tin chàng
Năm canh mơ màng
Em luống trông tin chàng
Ôi gan vàng quặn đau í a
Đường dù xa ong bướm
Xin đó đừng phụ nghĩa tào khang
Ðêm luống trông tin bạn
Ngày mỏi mòn như đá vọng phu
Vọng phu vọng luống trong tin chàng
Sao nỡ phũ phàng
Chàng hỡi chàng có hay
Đêm thiếp nằm luống những sầu tây
Bao thuở đó đây sum vầy
Duyên sắc cầm đừng lạt phai
Là nguyện cho chàng
Nguyện cho chàng đặng chữ bằng an
Mau trở lại gia đàng
Cho én nhạn hiệp đôi í a",vui
Gái Xuân & Tình Yêu Màu Nắng,"Em như cô gái hãy còn xuân
Trong trắng thân chưa lấm bụi trần
Xuân đến hoa mơ, hoa mận nở
Gái xuân giũ lụa trên sông Vân
Xuân đi, xuân đến, hãy còn xuân
Cô gái trông xuân đến bao lần
Xuân đến hoa mơ, hoa mận nở
Gái xuân giũ lụa trên sông Vân
Lòng xuân lơ đãng, má xuân hồng
Cô gái xuân mơ chuyện vợ chồng
Đôi tám xuân đi trên mái tóc
Đêm xuân cô ngủ có buồn không?
Em như cô gái hãy còn xuân
Trong trắng thân chưa lấm bụi trần
Xuân đến hoa mơ, hoa mận nở
Gái xuân giũ lụa trên sông Vân
Và em muốn biết Anh sẽ mang đến
Nơi trái tim vẫn nhớ thương âm thầm bao lâu nay
Sẽ mang đến cho mình ước mơ về hạnh phúc ấy
Hay là nỗi xót xa?
Có hay rằng tình yêu em luôn bao la Em vẫn luôn mong
Rồi sẽ đến một ngày anh chợt nhận ra
Tình ta như đóa hoa đợi khi nắng mai
Khi đôi môi lại rạng rỡ tình ta chẳng phai nhòa
Và bao nhiêu đêm dài, đêm trôi hoài
Đã bao nhiêu mùa trăng rồi
Không thấy bóng dáng ai bên cạnh
Đêm lại thêm lạnh đâu rồi vòng tay ấm
Mưa rơi lại càng thêm ngấm vào quá khứ một thời
Không muốn nhắc thêm một 
Mong cho đêm đông không lạnh
Chiều giấc ngủ thật an lành
Và bình minh ánh nắng ấm
Dịu dàng khẽ mang em đến bên anh Yeah
Bầu trời xanh đặc biệt đầy nắng, mây, đó đây
Tự nhiên này như ghép mình gần nhau thêm
Xóa tan mọi rào cản mình không còn phải đau thêm
Em là người khiến anh mau quên đi những vết đen
Tình yêu này anh dành cho nắng
Và em sẽ mãi là mây trắng
Lỡ cơn gió nào quấn bay em đi mất
Chỉ vì anh không thể cất
Dang đôi tay giữ hết yêu thương
Và sẽ không bao giờ anh đánh mất
Và để giờ mình em lại bơ vơ
Lạc vào giấc mơ rồi lại chơi vơi
Mình giữa đất trời nơi nào xa xôi
Màn đêm tối ai dẫn lối em để gần anh mãi
Và em muốn biết Anh sẽ mang đến
Nơi trái tim vẫn nhớ thương âm thầm bao lâu nay
Sẽ mang đến cho mình ước mơ về hạnh phúc ấy
Hay là nỗi xót xa?
Có hay rằng tình yêu em luôn bao la Em vẫn luôn mong
Rồi sẽ đến một ngày anh chợt nhận ra
Tình ta như đóa hoa đợi khi nắng mai
Khi đôi môi lại rạng rỡ tình ta chẳng phai nhòa",vui 
Cầu Vừa Đủ Xài,"Cầu cho năm mới nhiều sức khỏe
Vươn được sống vui vẻ lạc quan
Cầu cho ông bà và bố mẹ
Nhiều tuổi mới và sự bình an
Cầu cho anh muốn may bản đắt
Cầu cho chị mọi việc hành thơ
Cầu cho đôi lửa đi xe mắt
Đôi nào cũng nên vợ nên chồng
Cầu cho năm mới
Buổi phiền bi nhớ tiên
Một hỏi vì quá giỏi
Nhẹ tránh vì xinh gái
Mất ngủ vì không có đối thủ
Yeah, vui phim ghi nhớ tiên
Bệt mỏi vì quá giỏi
Ơ, em trái vì xinh gái
Mất ngủ vì không có đối thủ Yeah,cứ đến 23 là phải con cá lên cho ông Táo Chép nhá Để ông về chợ đem trước cả năm qua ông thông báo Yeah,thành công hay là cái may mắn một tí đi cũng không sao
Về nhà ăn cơm với mẹ rượt vô cả pháo Yeah,chọn cho mình bộ nào mới nhất
Ra chợ làm tình đào với quất
Thế này chuối, đôi con gà Khoanh giò chả, mấy bông hoa Hạ đi thu tời đông qua
Nhưng mà trước mắt thôi mà xuân đã tới
Cả năm mình đã 43 và tết nhất là mình phải xả hơi
Cầu cho năm mới người sức khỏe,được được sống vui vẻ lạc quan
Cầu cho ông bà và bố mẹ,vui tuổi mới và sự bình an
Cầu cho anh muốn may bán đắt,cầu cho chị mọi việc hay hơn
Cầu cho đôi lửa đi xem mắt,thì đôi nào cũng nên vợ nên chổ
Cầu cho năm mới,vội phiền ghi nhớ tiền
Một mỏi vì quá giỏi,giỏi, em trái vì xinh gái
Mất ngủ vì không có đối thủ
Vội phiền ghi nhớ tiền,một mỏi vì quá giỏi
Ơ, em trái vị sinh gái,mất ngủ vì không có đối thủ Yeah,pháo nổ xong thì cùng mẹ thắp hương
Chúng con lễ mọng lòn thành dâng lên các vị thánh thần từ phương
Cổ châu năm mới trôi đi,tay qua nạn khỏi mọi sự tỏ tường
Đôi chân như đường dẫn đường không đi là hướng cầu đội côn hương
Lý sĩ cho ba,lý sĩ cho mẹ,lý sĩ cho ông,lý sĩ cho bạn
Chọn đúng giờ đẹp mình bước ra dòng xịt nước hoa để đi sông mạng
Xăng lên chùa, hải cành lọc lên may,cho giấc mộng ấp ủ bên nay
Xin cho con chân thương đắm êm để con đừng vững dù đời có xoay
Cầu cho năm mới yêu sức khỏe
Luôn được sống vui vẻ lạc quan
Cầu cho ông bà và bố mẹ
Nhiều tuổi mới và sự bình an
Cầu cho anh buôn may bán đắt
Cầu cho chị mọi việc hành thơ
Cầu cho đôi lửa đi xem mắt
Thì đôi nào cũng nên vận nên trở
Cầu cho năm mới
Buồn phim đi nhiều tiền
Nịnh mỏi vì quá giỏi
Giỏi Trái tim xinh gái
Mất ngủ vì không có đối thủ
Buồn phim đi nhiều tiền
Nịnh mỏi vì quá giỏi
Ah, những trái vị xinh gái mất ngủ vì không có đối thủ",vui 
Đi Chùa Cầu Duyên,"Bao lâu vẫn một mình nhìn sang người ta cũng thấy giật mình
Ai ai cũng linh đình mà riêng mình ta chưa thấy mối tình
Sang năm mới lên chùa cầu xem tình duyên năm nay có được mùa
Năm sau quyết không đùa cùng bên người thương vui đón giao thừa
Nhỡ đâu ra trước cổng chùa gặp được người thương í a
Nhỡ đâu gặp đúng người cùng đầu bạc răng long í a
Xuân năm nay đến chùa cầu duyên
Mỏi mong gặp được người lưu luyến
Đâu ai hay thế mà tự nhiên
Một chữ phận từ một chữ duyên
Đức phúc đang ở ngay bên bạn
Bao nhiêu năm fore alone
Môi xinh như này mà chưa được ai hôn
Hôm nay lên chùa dâng hương
Mong năm nay gặp may hơn
Con kính ông Tơ con lạy bà Nguyệt
Ban phước cho con người yêu trong truyền thuyết
Luôn mãi bên nhau như cau với trầu
Hạnh phúc trăm năm đến khi bạc đầu
Thanh xuân trôi đi như áng mây trời
Mong ai bên ta xây đắp một đời
Nhỡ đâu ra trước cổng chùa gặp được người thương í a
Nhỡ đâu gặp đúng người cùng đầu bạc răng long í a
Xuân năm nay đến chùa cầu duyên
Mỏi mong gặp được người lưu luyến
Đâu ai hay thế mà tự nhiên
Một chữ phận từ một chữ duyên
Ìiii í a
Tương tư rồi lại tương tư
Bấy lâu chín đợi mười chờ
Năm nay cầu trời se duyên
Cho hết đời bơ vơ
Tương tư rồi lại tương tư
Bấy lâu chín đợi mười chờ
Năm nay cầu trời se duyên
Cho hết đời bơ vơ
Xuân năm nay đến chùa cầu duyên
Mỏi mong gặp được người lưu luyến
Đâu ai hay thế mà tự nhiên
Một chữ phận từ một chữ duyên
Ìiii í a",vui 
Nôn Cưới,"Em có nghe không em
Đàn chim hòa ca trong nắng
Mâу trắng trôi mênh mông
Chiều buông nhẹ trên cánh đồng
Tiếng hát vang của ai
Nghe nhẹ nhàng lả lơi bên sông
Ơ ngàу vui taу hoà khoan
Xuồng ghe xuôi mái
Con sóng trôi lênh đênh
Phù sa đẹp thêm câу lúa
Taу với chân khoan thai
Hò ơ rảo khua mái chèo
Trăng nước vui mừng vui
Soi dòng sông hiền hòa trong veo
Ơ ớ ơ ngàу cưới
Anh với em lứa đôi trao tình
Hò ới hò ơi
Cánh đồng thơm ngọt
Chín nhánh sông Cửu Long
Tim thì đang thích
Ѕao chàng không nhích lặng thinh
Hò ới hò ơi
Tới mùa chưa gặt
Câу lúa trĩu nặng bông
Có người lưu luуến
Thương thì lên tiếng được không
Mai má ba anh qua
Trầu cau nhà trai hỏi cưới
Cô gái ngoan xinh tươi
Dạ anh đừng có nuốt 
Tên bé cưng nhà ta
Nên đặt là gì dạ anh ha
Nôn quá đi trời ơi
Quen thiệt lâu giờ anh mới cưới
Anh sẽ xâу tương lai
Ngàу mai là một ngàу mới
Vun đắp lo cho em
Nhà ta tràn ngập tiếng cười
Em bón phân vườn hoa
Ta cùng hoà nhịp điệu dân ca
Ơ ớ ơ hạnh phúc
Ớ ơ hò ớ rạng ngời đôi ta
Hạnh phúc lắm em ơi
Vì hôm naу em là cô dâu mới
Lòng nghe phơi phới sánh bước
Bên anh em rạng rỡ tươi cười
Mình đã nên đôi nên nghĩa vợ chồng
Em cũng hứa với anh
Một khi anh hỏi cưới
Em thề nguуện trọn đời
Sửa túi nâng khăn
Quen nhau đã mấу chục cái mùa trăng
Vậу mà mấу lần em bật đèn xanh
Còn anh thì ngập ngừng
Rồi ấp a ấp úng
Nhìn anh lúng túng
Em thấу mà thương
Rồi mãi vấn vương người ấу trong lòng
Hò ới hò ơi
Cánh đồng thơm ngọt
Chín nhánh sông Cửu Long
Tim thì đang thích
Ѕao chàng không nhích lặng thinh
Hò ới hò ơi
Tới mùa chưa gặt
Câу lúa trĩu nặng bông
Có người lưu luуến
Thương thì lên tiếng được không
Mai má ba anh qua
Trầu cau nhà trai hỏi cưới
Cô gái ngoan xinh tươi
Dạ anh đừng có nuốt 
Tên bé cưng nhà ta
Nên đặt là gì dạ anh ha
Nôn quá đi trời ơi
Quen thiệt lâu giờ anh mới cưới
Anh sẽ xâу tương lai
Ngàу mai là một ngàу mới
Vun đắp lo cho em
Nhà ta tràn ngập tiếng cười
Em bón phân vườn hoa
Ta cùng hoà nhịp điệu dân ca
Ơ ớ ơ hạnh phúc
Ơ hò ơ rạng ngời đôi ta
Em bón phân vườn hoa
Ta cùng hoà nhịp điệu dân ca
Ơ ớ ơ ngày cưới
Ớ ơ hò ớ rạng ngời đôi ta",vui
Về Bản Ăn Tết,"Về quê ăn tết
Xuân sang gieo lộc biếc nơi hiên nhà bên nhau ta vui múa hát ca
Ngân vang tiếng sáo chan hoà
Cao nguyên đẹp lắm anh à
Chỉ muốn bên anh thêm một giây lát
Gạt hết tâm tư cho thoả khao khát
Ta lướt qua những ngọn đèo
Cùng đôi mắt trong veo
Cùng anh thêu lên giấc mơ ta cùng mơ ước
Không những lắng lo xô bồ như trước
Ta đắm say giữa muôn trùng Bỏ lại hết mông lung
Về bản ăn tết Về bản ăn tết Về bản ăn tết thôi Về bản ăn tết Về bản ăn tết Bao lâu ta chưa về thăm cha thăm mẹ xuân xuân đang về lòng ta thêm não nề
khi mà ta càng lớn lớn lớn ta càng đi xa xa xa
càng lớn ta càng thèm trở về
về về về nhà ăn tết Bước chân đi ra đường
Ngắm hoa ngắm phố phường
Lòng bồi hồi và nhớ thương Mong nhanh về lại cố hương Giờ này năm ngoái
Bố cắm hoa đào bày lên mâm ngũ quả Mẹ gói bánh chưng Mấy đứa em đang ngồi xếp lạt
Chuẩn bị cho một năm mới sang Mặt trời đang xuống ngang lưng đồi
Po me để em bé trên lưng
Vây quanh nồi bánh chưng than hồng Bên nhau đón tết quây quần
Hoa đào hoa quất hoa mai
Năm nay cu cháu có dẫn về thêm ai
Rộn ràng  nói bên tai, xuân sang tết đến bao gánh nặng trên vai Bao tháng ngày ở xa, có nhiều thứ đã trải qua nhớ ngày bé bố chở ta 30 tết ra chở hoa
ta chăm chỉ cả đời, mong có 1 khoản đến khi về già chạy thật xa thật xa để đến cuối năm lại đi về nhà
chỉnh chu không xuề xoà, gian khó không nề hà
cuối năm đi về nhà tết đến tết đến mình cùng nhau về nhà Đồng bào ta nơi phương xa
Dẫu có bôn ba
Năm tư anh em ta là nhà Cùng dựng xây quê hương ta
gieo thêm hoan ca, gieo tự hào bản sắc
Hey hey hey Về bản ăn tết
Hey hey hey Về bản ăn tết
Hey hey hey Về bản ăn tết thôi
Về bản ăn tết
Về bản ăn tết
Về bản ăn tết thôi
Xuân sang gieo lộc biếc nơi hiên nhà bên nhau ta vui múa hát ca
Ngân vang tiếng sáo chan hoà
Cao nguyên đẹp lắm anh à",vui 
Về Nhà Ăn Tết 2,"Bố mẹ ah...con đang đi hơi xa, nhưng mà sau đêm nay, con sẽ về nhà!!! Về nhà ăn Tết
Thấy bảo chất uhm chất thì sao phải khất?Về nhà ăn Tết
Biết là gấp, cũng đừng vấp mặt sấp
Về nhà ăn Tết
Double, double...double, double đang lâm nguy
Tayho, Tayho, Tayho...
Em iu Bích Đét Đi!!!
Về nhà ăn Tết
Nhưng mà khoan, chủ nợ cứ phải ngoan
Không được ngang, xem thái độ, uhm
Dù là thân con nợ nhưng cứ phải sang
Cứ phải có cái cớ thì mình mới nhớ được nhau nên
Anh em mình cứ... trước lạ sau quên...
Nên em để anh vào trong black list vì em không thích nói chuyện qua loa
Quyết tâm bước sang năm mới làm ăn phải phất, để cho chủ nợ không nhận ra ta
Con nợ xa hoa, con nợ chất, cổ tay lấp lánh Cartier
Biến con bò trong chuồng thành con Lamborghini, ví đầy up chuyển tiền về quê
Ngọc ngà ruby thì ta đâu so
Vẫn đứng vô lo, giữa những cam go
Chân đi đất, trên đội trời, hiên ngang anh chấp, bao dân chơi, dollar cả sấp mà không tăm hơi thua xa 1 cắc anh trao kịp thời, aight?
Về nhà ăn Tết
1 cắc, 1 cắc, anh lắc....
Đủ ấm cả thân
Về nhà ăn Tết
1 cắc, 1 cắc, anh lắc....
Đầy up cả mâm
Về nhà ăn Tết
1 cắc, 1 cắc, anh lắc....
Đào quất đầy sân
Về nhà ăn Tết
1 cắc, 1 cắc, anh lắc....
Bật nhạc anh lắc cả xuân
Hạ thu sang đông chẳng thấy bạn hỏi , gọi bạn là bạn né
Xuân này tôi cũng mạnh giỏi, bạn lại gọi bảo mãi bên nhau bạn nhé
Tết này chắc khác tết xưa Ơ tôi kể bạn biết chưa ?
Khu mình cũng có Viettel Money nên tài khoản ai cũng hơi thừa Về nhà ăn tết Thế mà em út nó chăn hết Có thằng em họ đang căng đét Bị trêu nhiều trán nó lại nhăn phết Gia đình vẫn quây quần và khăng khít Không rời xa như thời Covid Quân số thêm vài đứa lít nhít Đưa lì xì nó cười tít mít
Về nhà ăn Tết
1 cắc, 1 cắc, anh lắc....
Đủ ấm cả thân
Về nhà ăn Tết
1 cắc, 1 cắc, anh lắc....
Đầy up cả mâm
Về nhà ăn Tết
1 cắc, 1 cắc, anh lắc....
Đào quất đầy sân
Về nhà ăn Tết
1 cắc, 1 cắc, anh lắc....
Bật nhạc anh lắc cả xuân
Châm ngôn là thế, thôi đừng vẽ chốn xa vời
Mâm son này dễ, Tết này bễ nhất trên đời
Tiền thì là giấy, mà không 1 ai cho ta lấy
Để số dư nay chẳng khác gì với chiều cao ta là mấy...
Ngọc ngà ruby thì ta đâu so
Vẫn đứng vô lo, giữa những cam go
Chân đi đất, trên đội trời, hiên ngang anh chấp, bao dân chơi, dollar cả sấp mà không tăm hơi thua xa 1 cắc anh trao kịp thời, aight?
Về nhà ăn Tết
1 cắc, 1 cắc, anh lắc....
Đủ ấm cả thân
Về nhà ăn Tết
1 cắc, 1 cắc, anh lắc....
Đầy up cả mâm
Về nhà ăn Tết
1 cắc, 1 cắc, anh lắc....
Đào quất đầy sân
Về nhà ăn Tết
1 cắc, 1 cắc, anh lắc....
Bật nhạc anh lắc cả xuân",vui 
Mơ Là Phải Mở,"Đi xem bói đầu năm
Xem năm mới như nào
Xem xem có hữu duyên
Xin thầy gieo quẻ
Mong mình vibing ya
Ui năm qua hơi bị xui á
Thui đang vui mình bỏ qua nha
Con mong sao cho là năm mới
New year new me on da mic
Này thầy ơi hãy xem con nà
Bế tắc hay nở hoa
Con muốn mua được xe hơi đậu trong chiếc nhà xinh
True love con ở đâu, sao ảnh không tìm con?
Muốn lễ tết xong thành đôi thành hôn
Mơ là phải mở đôi mắt ra mà xem
Nắm bắt cơ hội bất kể ngày và đêm
Ai cũng có giấc mơ, ai cũng có chí
Nhưng nếu không thức tỉnh thì làm gì có ngày làm nên
Mơ là ta phải mở chiếc app này ra mà yêu đi
Match được mấy anh ghệ kiwi kiwi còn kewtie
Mơ là ta phải mở chiếc phone mở plan rót vào ví
New year new life eything makes new me
Muốn được xe nên tơ duyên hãy mở cửa trái tim ngoài mơ thì phải mở
Mở bát đầu năm và thêm siêng chúc cho con mở ví sẽ đầy tiền nhớ mơ là phải mở Muốn cho cả năm luôn gặp may
Tết đong đầy
Muốn cho ước mơ thành thật
Mơ là phải mở, mơ là phải mở
Mớ mơ vốn mang muôn màu
Muốn may phải thôi mong cầu
Mở ra mối mơ trong đầu
Mơ là phải mở
Mơ là phải mở ra nà
Yuno
Mơ mơ mơ mơ mơ là phải mở
Mơ mơ mơ mơ là không mập mờ
Mơ mơ mơ mơ mơ là phải mở
Mơ là phải mở
Mơ là phải mở
Mơ mơ mơ mơ mơ là phải mở
Mơ mơ mơ cần đi xa cần phải thở
Mơ mơ mơ còn lương duyên cần phải gỡ
Mơ là phải mở
Mơ là phải mở

Mơ cuối năm start up thành công
Phải sắm ngay phone mới vừa lòng
Mơ sẽ xây cho bố nhà to
Mơ là phải mở, mơ là phải mở mở
Ta chúc nhau may mắn mùa xuân
Bao nhiêu ước mơ rồi cũng thành thật
Cho năm mới luôn tỉnh táo thành công
Mơ thì mơ, nhưng mơ phải mở",vui 
